label,joint,joint_idx,axis,min_rad,max_rad,mean_rad,std_rad,rom_rad,min_deg,max_deg,rom_deg
sv_constrained,b_a_1,1,x,-0.32697150111198425,0.472883015871048,0.009992360602866878,0.09004705875501601,0.7998545169830322,-18.7340870347738,27.094201012828975,45.828288047602776
sv_constrained,b_a_1,1,y,-0.6514272689819336,0.23232147097587585,-0.23402329421097037,0.1481067424469345,0.8837487399578094,-37.32403317239824,13.311039777188737,50.63507294958698
sv_constrained,b_a_1,1,z,-0.8666477203369141,0.5852255821228027,-0.01661547701914119,0.22533679207037152,1.4518733024597168,-49.65525669993926,33.53095591872336,83.18621261866262
sv_constrained,b_a_2,2,x,-0.4059249460697174,0.19512344896793365,-0.026839186680219382,0.06424370635918839,0.6010483950376511,-23.25778620887036,11.179750109898897,34.43753631876926
sv_constrained,b_a_2,2,y,-0.3814045786857605,1.1937856674194336,-0.03266675860447351,0.16918418737798901,1.575190246105194,-21.852872645659392,68.39888038634169,90.25175303200108
sv_constrained,b_a_2,2,z,-0.7406888604164124,0.3704603314399719,0.03534318638974566,0.1431210911231428,1.1111491918563843,-42.43834563421497,21.22581346852803,63.664159102743
sv_constrained,b_a_3,3,x,-0.455759733915329,0.27660176157951355,-0.0260304455861559,0.06567304485230137,0.7323614954948425,-26.113109225353757,15.848113544389973,41.96122276974373
sv_constrained,b_a_3,3,y,-0.3528733551502228,1.681169033050537,0.02666533639853994,0.32267191810592866,2.03404238820076,-20.218153952728755,96.32389024188538,116.54204419461414
sv_constrained,b_a_3,3,z,-1.1481220722198486,0.20775482058525085,-0.1076351162529471,0.2076230298184819,1.3558768928050995,-65.78254910401162,11.903474393032509,77.68602349704413
sv_constrained,b_a_4,4,x,-0.18566109240055084,0.09588293731212616,0.0021770302000425354,0.016935916405295598,0.281544029712677,-10.637597014339965,5.493687635302274,16.13128464964224
sv_constrained,b_a_4,4,y,-0.15400521457195282,0.1293279081583023,-0.017360382039479354,0.04655341295661615,0.2833331227302551,-8.823848817979542,7.409943310726249,16.23379212870579
sv_constrained,b_a_4,4,z,-0.13575713336467743,0.08308079838752747,-0.0011214843259021773,0.0352396625632715,0.2188379317522049,-7.77831078059067,4.760179106182619,12.538489886773288
sv_constrained,b_a_5,5,x,-0.037482645362615585,0.060966409742832184,-0.0016315148747579383,0.0030645496473087975,0.09844905510544777,-2.1475973842634803,3.4931179703295467,5.640715354593027
sv_constrained,b_a_5,5,y,-0.010133214294910431,0.021122578531503677,0.00137756964097286,0.004058995467496787,0.03125579282641411,-0.580590412000002,1.2102346022888009,1.790825014288803
sv_constrained,b_a_5,5,z,-0.016967544332146645,0.016175365075469017,-0.0008352616138325123,0.0035465028307229483,0.03314290940761566,-0.9721686789331238,0.926780150907685,1.8989488298408088
sv_constrained,l_1_co_r,6,x,-0.7002824544906616,0.5050408244132996,-0.0299546675936384,0.24611494531288236,1.2053232789039612,-40.12322910937706,28.936707720689736,69.05993683006679
sv_constrained,l_1_co_r,6,y,-1.444112777709961,1.173425555229187,-0.19802647512923785,0.5909203772485978,2.617538332939148,-82.74156730369478,67.2323318874277,149.97389919112248
sv_constrained,l_1_co_r,6,z,-0.7898405194282532,1.0965982675552368,0.16837037940034968,0.32668445229597515,1.88643878698349,-45.25452825165961,62.8304525522729,108.08498080393251
