label,joint,joint_idx,mean_mag_deg,max_mag_deg,std_mag_deg
sv_constrained,b_a_1,1,10.086399863278984,36.16298138320626,5.662476307362688
sv_constrained,b_a_2,2,11.908873464713734,79.59647530466687,13.91775874284383
sv_constrained,b_a_3,3,11.471017894628904,43.89383933622192,11.353026337027552
sv_constrained,b_a_4,4,5.68136331248231,12.988811204901985,2.5510225966784814
sv_constrained,b_a_5,5,0.5736618516814243,1.3215108203379493,0.19958948596031684
sv_constrained,l_1_co_r,6,25.76223506597141,64.24433414146748,8.903581554877107
sv_constrained,l_1_tr_r,7,13.175933092522381,39.53229872471159,7.083374591401152
sv_constrained,l_1_fe_r,8,7.815204768331393,17.550323280554387,3.49472524312684
sv_constrained,l_1_ti_r,9,34.14400699007603,47.46963281466966,6.364451636580774
sv_constrained,l_1_ta_r,10,21.038472277359975,52.212733064816014,6.38665809332657
sv_constrained,l_1_pt_r,11,1.5538019985277114,3.6816894781076375,0.3971970705302046
sv_constrained,l_2_co_r,12,19.93976758387732,53.268649031991266,10.336478823165129
sv_constrained,l_2_tr_r,13,7.73494006123397,17.84073674860614,1.9950073873307308
sv_constrained,l_2_fe_r,14,6.723695005716107,15.290755111521687,2.104235751361695
sv_constrained,l_2_ti_r,15,27.632792970782027,48.11041935589151,8.61102749361126
sv_constrained,l_2_ta_r,16,21.80999519364099,57.63644493212016,10.224604160559362
sv_constrained,l_2_pt_r,17,1.3474322935844718,3.9194285468122607,0.7285969978732589
sv_constrained,l_3_co_r,18,26.13233680207678,50.79660691126298,5.6409775834375235
sv_constrained,l_3_tr_r,19,23.34947771970882,38.8946240948344,5.762082130927592
sv_constrained,l_3_fe_r,20,7.814689118142517,16.329073251753336,3.047525204602991
sv_constrained,l_3_ti_r,21,27.25388559324667,56.42365171963267,6.135695991404689
sv_constrained,l_3_ta_r,22,17.14569047999977,47.34358498543631,10.036493600645912
sv_constrained,l_3_pt_r,23,0.41631855200750484,0.9348646624207948,0.11791771286575772
sv_constrained,w_1_r,24,0.4259235352198242,1.0288732672805252,0.12292784892871579
sv_constrained,w_2_r,25,0.6826181585668188,1.3338659034430658,0.15335206449355926
sv_constrained,l_1_co_l,26,32.04406276543112,61.74469707492212,9.687539932939863
sv_constrained,l_1_tr_l,27,14.31629944873596,53.320600986443814,8.485433504378378
sv_constrained,l_1_fe_l,28,7.6960147207863905,17.66411084702686,3.5934212099895326
sv_constrained,l_1_ti_l,29,34.97008653460308,46.54977288848719,4.850681818386186
sv_constrained,l_1_ta_l,30,20.256552411179918,52.307665012338276,7.724806100197776
sv_constrained,l_1_pt_l,31,1.441154160213891,3.6694989853642097,0.5937555109260414
sv_constrained,l_2_co_l,32,19.328072546539566,50.767269704985395,9.031296044003469
sv_constrained,l_2_tr_l,33,18.561254447963066,59.96210171515911,10.29848455042737
sv_constrained,l_2_fe_l,34,7.431150745811509,15.527229362481473,2.125426066506984
sv_constrained,l_2_ti_l,35,36.64978602920156,51.29587199984237,7.160140711880507
sv_constrained,l_2_ta_l,36,26.413506450346226,59.674658127924374,14.046010438678534
sv_constrained,l_2_pt_l,37,5.299906558992244,22.737776753874396,1.9568034918327617
sv_constrained,l_3_co_l,38,24.918280629262433,56.430752778295,9.190531957196146
sv_constrained,l_3_tr_l,39,19.240906395097394,47.43202681966788,7.736898601533846
sv_constrained,l_3_fe_l,40,6.94572989744552,15.910830986086708,2.877947131450595
sv_constrained,l_3_ti_l,41,23.272366424023534,39.588165019378806,4.358602985773194
sv_constrained,l_3_ta_l,42,19.643092500701425,49.718056499773496,8.964283794287338
sv_constrained,l_3_pt_l,43,1.1951474753014764,7.342897080964648,0.8092298794032317
sv_constrained,w_1_l,44,4.65581684822424,13.128419305123598,1.8499515265300817
sv_constrained,w_2_l,45,0.5961081362488633,1.044914929875593,0.12256622889087657
sv_constrained,b_h,46,13.367028852926659,36.156715852289466,6.067910432770843
sv_constrained,ma_r,47,0.4987665712813527,1.0671851376915502,0.14081274505059085
sv_constrained,an_1_r,48,32.086026720729,66.82745197515199,9.93095531352078
sv_constrained,an_2_r,49,6.176796351816514,18.699341504658552,3.556828458655351
sv_constrained,an_3_r,50,0.4182730163075673,1.1928781510702413,0.14417325803551082
sv_constrained,ma_l,51,0.591266097478502,1.2392221425144636,0.13918379469912284
sv_constrained,an_1_l,52,29.755929396515285,73.12114889517015,10.708170754079498
sv_constrained,an_2_l,53,9.45309760966871,27.568104005897244,6.34023324893357
sv_constrained,an_3_l,54,0.5435211964549517,1.150078112592914,0.14658673353272647
