label,joint,joint_idx,axis,min_rad,max_rad,mean_rad,std_rad,rom_rad,min_deg,max_deg,rom_deg
mv_reference,b_a_1,1,x,-0.10958649963140488,0.13579903542995453,0.012513568688260378,0.03785199398584864,0.2453855350613594,-6.278843920491451,7.78071159208393,14.05955551257538
mv_reference,b_a_1,1,y,-0.4204177260398865,0.17095808684825897,-0.08326017127817388,0.13170515339419311,0.5913758128881454,-24.088161334572785,9.795176850036224,33.88333818460901
mv_reference,b_a_1,1,z,-0.3984355628490448,0.3480480909347534,0.0081407330787223,0.10842695120815271,0.7464836537837982,-22.828676159169724,19.94168667814686,42.77036283731658
mv_reference,b_a_2,2,x,-0.1882384568452835,0.12435368448495865,-0.027715121791282705,0.044078920974500474,0.31259214133024216,-10.785269119290225,7.124941287889597,17.91021040717982
mv_reference,b_a_2,2,y,-0.3028823435306549,1.4556198120117188,0.03985307100792719,0.3135909385840215,1.7585021555423737,-17.35387997333806,83.40087180389777,100.75475177723584
mv_reference,b_a_2,2,z,-0.3713928163051605,0.3720032572746277,0.020831859124679445,0.08711369062931476,0.7433960735797882,-21.27924091576316,21.314216606955505,42.593457522718666
mv_reference,b_a_3,3,x,-0.11812866479158401,0.09060327708721161,-0.0028139136208685683,0.02208271177443242,0.20873194187879562,-6.768273932073408,5.19118538715158,11.959459319224989
mv_reference,b_a_3,3,y,-0.19137081503868103,0.7845141291618347,0.033761675324566885,0.23864003773968964,0.9758849442005157,-10.964740023695127,44.94934856935427,55.9140885930494
mv_reference,b_a_3,3,z,-0.16728833317756653,0.11087977886199951,-0.007437233953115667,0.03271809051093349,0.27816811203956604,-9.584915452852906,6.35294336213645,15.937858814989356
mv_reference,b_a_4,4,x,-0.09020333737134933,0.059433698654174805,-0.020045705217665143,0.02575825836721768,0.14963703602552414,-5.16827052937301,3.405300093736577,8.573570623109587
mv_reference,b_a_4,4,y,-0.2943229675292969,0.1843664050102234,-0.05942181738260162,0.10768974155814963,0.47868937253952026,-16.86346385319468,10.563416891085396,27.426880744280076
mv_reference,b_a_4,4,z,-0.11819544434547424,0.09521869570016861,0.0027953675516864296,0.03184906723056838,0.21341414004564285,-6.772100118669085,5.45562939436014,12.227729513029226
mv_reference,b_a_5,5,x,-0.04421669617295265,0.08297852426767349,-0.0020310927563963626,0.015206065808845598,0.12719522044062614,-2.533430074722446,4.754319230761571,7.2877493054840174
mv_reference,b_a_5,5,y,-0.0725347101688385,0.08399089425802231,-0.0048669228601607144,0.02321245919821888,0.1565256044268608,-4.155932760879101,4.812323758514259,8.968256519393359
mv_reference,b_a_5,5,z,-0.060294270515441895,0.08888208121061325,0.0012919397114165264,0.01691344553444362,0.14917635172605515,-3.4546072293548993,5.092568127707174,8.547175357062073
mv_reference,l_1_co_r,6,x,-0.28876468539237976,0.9785426259040833,0.28759181292134806,0.16864515775251593,1.267307311296463,-16.544997745406373,56.066362537952955,72.61136028335933
mv_reference,l_1_co_r,6,y,-0.4571681022644043,0.535158634185791,0.03802829718997138,0.13812441842309486,0.9923267364501953,-26.19380278775558,30.662331108831363,56.85613389658694
mv_reference,l_1_co_r,6,z,-0.48562660813331604,0.8083697557449341,0.22724560508238145,0.2030556672220878,1.2939963638782501,-27.824355065292508,46.316175290205955,74.14053035549846
mv_reference,l_1_tr_r,7,x,-0.6547473669052124,0.5111599564552307,0.05085350705570329,0.24897357697125666,1.1659073233604431,-37.514260770972264,29.28730816097566,66.80156893194793
mv_reference,l_1_tr_r,7,y,-0.5163580775260925,0.4991077780723572,-0.02567583357023239,0.146190131407158,1.0154658555984497,-29.585138559734066,28.5967692056982,58.181907765432264
mv_reference,l_1_tr_r,7,z,-0.438959002494812,0.6894404292106628,0.12798254081546762,0.19491469549507934,1.1283994317054749,-25.150498222225302,39.502026819458976,64.65252504168429
mv_reference,l_1_fe_r,8,x,-1.1642329692840576,1.143396258354187,-0.35302159628534496,0.32571623317312043,2.3076292276382446,-66.70563550996052,65.5117799147448,132.2174154247053
mv_reference,l_1_fe_r,8,y,-0.2556176781654358,0.5211270451545715,0.07967799521275193,0.10950778865302141,0.7767447233200073,-14.645814127812846,29.858380277480425,44.504194405293276
mv_reference,l_1_fe_r,8,z,-0.4197240471839905,0.07148029655218124,-0.2217893756910838,0.07451579858193853,0.4912043437361717,-24.04841646379248,4.095519310783515,28.143935774575993
mv_reference,l_1_ti_r,9,x,-0.8712049126625061,-0.09807588905096054,-0.47503262508308114,0.1722296478566855,0.7731290236115456,-49.91636458662509,-5.61933451461336,44.29703007201173
mv_reference,l_1_ti_r,9,y,-0.31062954664230347,0.23275712132453918,-0.03193328423499743,0.11245351176827122,0.5433866679668427,-17.79776201466614,13.33600070351055,31.13376271817669
mv_reference,l_1_ti_r,9,z,-0.6526429653167725,0.27874132990837097,-0.2178000074913698,0.1469497729394521,0.9313842952251434,-37.39368744155403,15.970701779613362,53.36438922116739
mv_reference,l_1_ta_r,10,x,-1.0609383583068848,0.5969905853271484,-0.1531078078189141,0.40940459819551056,1.6579289436340332,-60.7872902545228,34.205040948290254,94.99233120281306
mv_reference,l_1_ta_r,10,y,-0.09200671315193176,0.30393320322036743,0.06911806072089441,0.069694598170913,0.3959399163722992,-5.271596350476494,17.414089798419013,22.68568614889551
mv_reference,l_1_ta_r,10,z,-0.4270614683628082,0.24185127019882202,-0.196662684721686,0.13958211290687514,0.6689127385616302,-24.468819729848644,13.857057052270605,38.325876782119245
mv_reference,l_1_pt_r,11,x,-0.06889428198337555,0.07371634244918823,-0.004497478676714087,0.0196031557065699,0.14261062443256378,-3.947351590231605,4.2236353034795595,8.170986893711165
mv_reference,l_1_pt_r,11,y,-0.062005992978811264,0.054331593215465546,-0.006172592906342609,0.01914166405833348,0.11633758619427681,-3.5526817022037007,3.1129709854677934,6.6656526876714945
mv_reference,l_1_pt_r,11,z,-0.06057219207286835,0.05256212502717972,-0.005358787751357282,0.015920417975643534,0.11313431710004807,-3.470530961631138,3.011587926296355,6.482118887927493
mv_reference,l_2_co_r,12,x,-0.13721628487110138,1.2060630321502686,0.48285601244838927,0.16908891540286547,1.34327931702137,-7.861914003578918,69.1023215689613,76.96423557254022
mv_reference,l_2_co_r,12,y,-0.5905153155326843,0.2476399540901184,-0.06233024853173438,0.13888131983864116,0.8381552696228027,-33.83403531785892,14.188724208177254,48.02275952603617
mv_reference,l_2_co_r,12,z,-0.8967576622962952,0.4872429370880127,-0.23235085768015495,0.23406228033221957,1.3840005993843079,-51.38042929559567,27.916963892701418,79.29739318829708
mv_reference,l_2_tr_r,13,x,-0.4445880055427551,0.004521653987467289,-0.17406683700618722,0.10526245815019943,0.4491096595302224,-25.47301633973872,0.25907168990037527,25.732088029639094
mv_reference,l_2_tr_r,13,y,-0.09139915555715561,0.3141598105430603,0.05648377894984029,0.04543086009321761,0.4055589661002159,-5.236785864484701,18.0000312367469,23.236817101231598
mv_reference,l_2_tr_r,13,z,-0.2244338095188141,0.3003658056259155,0.09663180023959919,0.08590490212706943,0.5247996151447296,-12.85911006547109,17.209692972411798,30.068803037882887
mv_reference,l_2_fe_r,14,x,-1.1113613843917847,0.625715970993042,-0.4479768435083201,0.28481577255547685,1.7370773553848267,-63.67631683946563,35.85088431183155,99.52720115129718
mv_reference,l_2_fe_r,14,y,-0.15239372849464417,0.24449066817760468,0.03354967568888466,0.050980445451397016,0.39688439667224884,-8.731517467005663,14.00828341691021,22.739800883915873
mv_reference,l_2_fe_r,14,z,-0.1896669566631317,0.10128875821828842,-0.045365312281128486,0.043038610127098614,0.29095571488142014,-10.867116129888135,5.803418358028958,16.67053448791709
mv_reference,l_2_ti_r,15,x,-0.8773825168609619,0.024939775466918945,-0.4455713162735598,0.2108396257440926,0.9023222923278809,-50.270315234698906,1.4289438762583677,51.69925911095727
mv_reference,l_2_ti_r,15,y,-0.34632930159568787,0.2133888155221939,0.019873040611662666,0.11441374200413519,0.5597181171178818,-19.843207303146322,12.22627852471742,32.069485827863744
mv_reference,l_2_ti_r,15,z,-0.2921634614467621,0.7663115859031677,0.015457240572484625,0.183788942660775,1.0584750473499298,-16.73973326883261,43.906419664228345,60.64615293306095
mv_reference,l_2_ta_r,16,x,-1.0949817895889282,0.7015912532806396,-0.07166248065476669,0.39863847250907586,1.7965730428695679,-62.73783518712753,40.19821775627462,102.93605294340216
mv_reference,l_2_ta_r,16,y,-0.19526498019695282,0.1163373589515686,-0.019178451425436564,0.04592985751255627,0.3116023391485214,-11.187859251990995,6.665639667623389,17.853498919614385
mv_reference,l_2_ta_r,16,z,-0.2697841227054596,0.3475150763988495,-0.014920559551901939,0.09666038351536531,0.6172991991043091,-15.457491610662359,19.91114719482044,35.368638805482796
mv_reference,l_2_pt_r,17,x,-0.05915519967675209,0.06477570533752441,0.004478308225619175,0.022112016433887223,0.1239309050142765,-3.3893432777315464,3.7113745308231887,7.100717808554735
mv_reference,l_2_pt_r,17,y,-0.06867645680904388,0.07606128603219986,-0.002721627700843879,0.018740142503205052,0.14473774284124374,-3.9348711270706995,4.357990673982411,8.29286180105311
mv_reference,l_2_pt_r,17,z,-0.06511566787958145,0.06956444680690765,-0.00016094144273646154,0.020276190646780417,0.1346801146864891,-3.7308529496755956,3.9857492061981246,7.71660215587372
mv_reference,l_3_co_r,18,x,-0.5252172350883484,0.9374196529388428,0.40031271118871387,0.1577414164808554,1.4626368880271912,-30.092730898092732,53.71018974601409,83.80292064410682
mv_reference,l_3_co_r,18,y,-0.6231160759925842,0.5741034746170044,-0.11699815704547736,0.19306365642926313,1.1972195506095886,-35.70192130112815,32.89370609935034,68.59562740047849
mv_reference,l_3_co_r,18,z,-0.40446463227272034,0.5583475232124329,0.06189181758616859,0.14638942324579707,0.9628121554851532,-23.174116391537705,31.99095658165517,55.16507297319287
mv_reference,l_3_tr_r,19,x,-0.7511539459228516,-0.19069290161132812,-0.4619926868097457,0.10936579589330787,0.5604610443115234,-43.037950865977464,-10.925898445432557,32.112052420544906
mv_reference,l_3_tr_r,19,y,-0.45805835723876953,0.05679262802004814,-0.09542357405752085,0.11227665435249214,0.5148509852588177,-26.244810640477237,3.2539778930051795,29.498788533482415
mv_reference,l_3_tr_r,19,z,-0.7002894282341003,-0.1661922186613083,-0.3581153829840481,0.08770932154188708,0.534097209572792,-40.1236286754435,-9.522112717208286,30.601515958235215
mv_reference,l_3_fe_r,20,x,-0.9641602635383606,0.832059383392334,-0.03882521504123803,0.3525392463550438,1.7962196469306946,-55.242313874969255,47.6734909726384,102.91580484760766
mv_reference,l_3_fe_r,20,y,-0.8459919691085815,0.41551730036735535,-0.07826708182329774,0.2381356245456424,1.261509269475937,-48.47176933188364,23.807387625719194,72.27915695760284
mv_reference,l_3_fe_r,20,z,0.0070443954318761826,0.49436113238334656,0.2428664859119783,0.05959747397398313,0.4873167369514704,0.40361412746774206,28.324806440873925,27.921192313406184
mv_reference,l_3_ti_r,21,x,-0.8089428544044495,0.31972062587738037,-0.17758344269106485,0.21940321204923646,1.1286634802818298,-46.34901142464079,18.31864248605507,64.66765391069586
mv_reference,l_3_ti_r,21,y,0.18360376358032227,1.1621487140655518,0.44647195680225504,0.1292262371593821,0.9785449504852295,10.519720755870239,66.586216482512,56.06649572664177
mv_reference,l_3_ti_r,21,z,-0.5778325200080872,0.41840681433677673,-0.05111234741560552,0.12090501333734048,0.9962393343448639,-33.10736466187209,23.97294458101113,57.080309242883224
mv_reference,l_3_ta_r,22,x,-1.1317617893218994,0.4721069931983948,0.0842683340539792,0.18831172160615292,1.6038687825202942,-64.84517394231908,27.049738188879484,91.89491213119857
