label,mode,checkpoint,checkpoint_epoch,n_axes,violating_axes,mean_viol_rate,mean_overshoot_deg,max_overshoot_deg,mpjpe_mm,median_mpjpe_mm,pck_5px_native,pck_5px_input,smal_file,benchmark_report
sv_reference,singleview,/home/mkd34160/test/SMILify/singleview_SMILySTICKS_3D_ViT_checkpoints/best_model.pth,386,162,96,14.760535767843677,2.531032391206795,77.69861153568446,1.092,0.9227,,,3D_model_prep/SMILy_STICK_limits_authored.pkl,/rwthfs/rz/cluster/home/mkd34160/test/SMILify/prior_study_results/sv_reference/benchmark_singleview_sv_reference_on_SMILySTICKS_centred_reprojected_FIXED/benchmark_report.txt
sv_constrained,singleview,/hpcwork/mkd34160/smilify_runs/singleview_lam1e-3/checkpoints/checkpoint_epoch_435.pth,435,162,85,0.2566672275013838,0.0040932731495131125,25.63508136081749,1.0075,0.854,,,3D_model_prep/SMILy_STICK_limits_authored.pkl,/rwthfs/rz/cluster/home/mkd34160/test/SMILify/prior_study_results/lam1e-3/sv_constrained/benchmark_singleview_sv_constrained_lam1e-3_on_SMILySTICKS_centred_reprojected_FIXED/benchmark_report.txt
mv_reference,multiview,/hpcwork/mkd34160/SMILify/SMILySTICKS_ViT_model.pth,345,162,76,13.959541871188462,2.6468550795493555,56.57237881016064,0.9639,0.8382,,,3D_model_prep/SMILy_STICK_limits_authored.pkl,/rwthfs/rz/cluster/home/mkd34160/test/SMILify/prior_study_results/mv_reference/benchmark_multiview_mv_reference_on_SMILySTICKS_centred_reprojected_FIXED/benchmark_report.txt
mv_constrained,multiview,/hpcwork/mkd34160/smilify_runs/multiview_lam1e-3/checkpoints/checkpoint_epoch_0369.pth,369,162,73,0.5365115592912025,0.012219958142544392,17.648093786930943,1.075,0.9475,,,3D_model_prep/SMILy_STICK_limits_authored.pkl,/rwthfs/rz/cluster/home/mkd34160/test/SMILify/prior_study_results/lam1e-3/mv_constrained/benchmark_multiview_mv_constrained_lam1e-3_on_SMILySTICKS_centred_reprojected_FIXED/benchmark_report.txt
