label,joint,joint_idx,mean_mag_deg,max_mag_deg,std_mag_deg
sv_constrained,b_a_1,1,13.094354480743451,47.53516936410865,6.286114620902625
sv_constrained,b_a_2,2,9.287274477193085,76.76819166999161,7.164751960433674
sv_constrained,b_a_3,3,12.570544391709117,107.8914110418191,18.34198323381856
sv_constrained,b_a_4,4,2.347308459942851,11.591674185819123,1.7619671324035702
sv_constrained,b_a_5,5,0.3355761652210467,3.4141052714633577,0.15997689575099322
sv_constrained,l_1_co_r,6,20.76368312913303,70.66221117253521,10.732119672803385
sv_constrained,l_1_tr_r,7,11.811015703478843,49.23718282080918,5.249866954333429
sv_constrained,l_1_fe_r,8,9.712862871362208,16.976901960126778,3.0910531651793685
sv_constrained,l_1_ti_r,9,22.36783778574562,61.10874756425644,8.208369800642203
sv_constrained,l_1_ta_r,10,20.352177974974236,53.791113957634145,10.319765772473223
sv_constrained,l_1_pt_r,11,0.48520897407466923,2.545781654204323,0.306518417771797
sv_constrained,l_2_co_r,12,22.853316686318465,55.50284057042987,10.88747870376497
sv_constrained,l_2_tr_r,13,7.025785701772759,13.915525211095579,2.2907959869281482
sv_constrained,l_2_fe_r,14,8.7347055748159,15.028490870104248,2.190889780628088
sv_constrained,l_2_ti_r,15,18.848283995617983,60.24197457114101,8.300016786018816
sv_constrained,l_2_ta_r,16,24.06089685847418,57.30826506064105,14.901204606360086
sv_constrained,l_2_pt_r,17,0.2533424940426789,0.8918096091391965,0.11228862492955013
sv_constrained,l_3_co_r,18,13.858404144457358,44.951635357506014,6.046186140453071
sv_constrained,l_3_tr_r,19,13.986517063632673,39.54544315759922,4.893152924635322
sv_constrained,l_3_fe_r,20,6.270748405705942,16.791564689768155,2.9064450749280435
sv_constrained,l_3_ti_r,21,24.208279561281433,58.10118065549321,9.625717491594093
sv_constrained,l_3_ta_r,22,21.577223514689013,56.93842539177833,13.661690297834065
sv_constrained,l_3_pt_r,23,0.27917795673429147,1.1290765746630524,0.11474493907397458
sv_constrained,w_1_r,24,0.2363357940032589,2.174662729520532,0.1315029185448904
sv_constrained,w_2_r,25,1.5270978468186154,8.133308713771365,1.0290868853774933
sv_constrained,l_1_co_l,26,23.672595656113554,69.44761242113704,10.025598144951402
sv_constrained,l_1_tr_l,27,12.972900418201975,54.82644737258472,6.392681190133675
sv_constrained,l_1_fe_l,28,8.896918373516055,16.018786578999627,3.0347284819750153
sv_constrained,l_1_ti_l,29,23.959714587254762,54.04780515235579,8.903856192357086
sv_constrained,l_1_ta_l,30,16.09798292449611,40.82733289284343,7.54882495556087
sv_constrained,l_1_pt_l,31,0.8541022661658487,2.8165879578450146,0.4517763041279083
sv_constrained,l_2_co_l,32,18.302933895720933,48.94698989510059,8.936570351189667
sv_constrained,l_2_tr_l,33,18.304035994423163,62.23630132871953,11.681748221810073
sv_constrained,l_2_fe_l,34,9.854276656269622,14.540286304742102,1.2407084660374512
sv_constrained,l_2_ti_l,35,23.373333286375704,55.77525953242929,10.007254783986815
sv_constrained,l_2_ta_l,36,23.65672746749391,55.52499480937769,15.24612226818339
sv_constrained,l_2_pt_l,37,3.6048957432606366,10.01555570948745,2.0736155709492095
sv_constrained,l_3_co_l,38,14.19310003750826,48.50804977892805,6.466105997085202
sv_constrained,l_3_tr_l,39,16.083046458976053,57.30173752991597,6.684433901245283
sv_constrained,l_3_fe_l,40,6.670966594452659,16.49050342290524,2.670350133265281
sv_constrained,l_3_ti_l,41,19.71188368905354,42.927617240550866,6.141395694466234
sv_constrained,l_3_ta_l,42,13.73444077978316,41.93235744184629,6.946773509388001
sv_constrained,l_3_pt_l,43,1.6610677693164488,7.558744700676105,0.8036507998366589
sv_constrained,w_1_l,44,4.83154059148205,13.494267014392822,1.8349554419635308
sv_constrained,w_2_l,45,0.22783506022141947,1.052733255529979,0.11211672028617949
sv_constrained,b_h,46,9.890143377586073,30.461959762868588,4.778545291014431
sv_constrained,ma_r,47,0.24170696247904425,0.8545695727943038,0.10446177157907538
sv_constrained,an_1_r,48,25.113710396555224,58.97421504202079,9.747544763144244
sv_constrained,an_2_r,49,8.116133791440328,21.26095993287895,3.126231096331715
sv_constrained,an_3_r,50,0.31030877335733004,1.4364381746305546,0.15189935832498677
sv_constrained,ma_l,51,0.264560930464441,0.9532841416055293,0.13009243512368704
sv_constrained,an_1_l,52,29.773313915215674,63.9621696185138,12.136447996632358
sv_constrained,an_2_l,53,7.524904366455775,25.511674979475288,4.163648301004873
sv_constrained,an_3_l,54,0.2615309871035676,1.8667103579676128,0.13105670569453828
