label,joint,joint_idx,axis,min_rad,max_rad,mean_rad,std_rad,rom_rad,min_deg,max_deg,rom_deg
sv_constrained,b_a_1,1,x,-0.07937578856945038,0.2368592768907547,0.011173092771871297,0.046761452212286156,0.3162350654602051,-4.547897680552269,13.571036904360797,18.118934584913067
sv_constrained,b_a_1,1,y,-0.6100127100944519,0.1668715626001358,-0.09332523399702418,0.16783655485481494,0.7768842726945877,-34.95115373774952,9.561036257740895,44.51218999549042
sv_constrained,b_a_1,1,z,-0.4992857575416565,0.42774152755737305,-0.015008477938212333,0.10717362341226307,0.9270272850990295,-28.60696667812903,24.507784251516274,53.114750929645304
sv_constrained,b_a_2,2,x,-0.16114141047000885,0.12206027656793594,0.0052090164264656956,0.0428782386851053,0.2832016870379448,-9.232722724716723,6.993538693542306,16.22626141825903
sv_constrained,b_a_2,2,y,-0.269890159368515,1.4548612833023071,0.05209337684581297,0.3229980127601114,1.7247514426708221,-15.463567063929085,83.35741131020899,98.82097837413808
sv_constrained,b_a_2,2,z,-0.20277084410190582,0.1387271285057068,0.010929867501766284,0.044209009483836256,0.3414979726076126,-11.617913575344385,7.948478967346014,19.566392542690398
sv_constrained,b_a_3,3,x,-0.23629535734653473,0.03481089696288109,-0.053898798309719644,0.05952771031608871,0.2711062543094158,-13.538726694492052,1.994517477037862,15.533244171529914
sv_constrained,b_a_3,3,y,-0.2300010323524475,0.7302125692367554,0.013250670661997917,0.26764432492715423,0.9602136015892029,-13.178088437447146,41.83809836467049,55.016186802117645
sv_constrained,b_a_3,3,z,-0.06287820637226105,0.09283497929573059,0.02957892882131291,0.02401750446157386,0.15571318566799164,-3.602655848483157,5.319052504829743,8.9217083533129
sv_constrained,b_a_4,4,x,-0.0919414609670639,0.020547742024064064,-0.02792896828498122,0.023141504256126714,0.11248920299112797,-5.267857675679558,1.1772988965024704,6.445156572182029
sv_constrained,b_a_4,4,y,-0.19513368606567383,0.20474041998386383,-0.027237894516057477,0.10166828400807576,0.39987410604953766,-11.180336652393873,11.730761960811336,22.91109861320521
sv_constrained,b_a_4,4,z,-0.04461321607232094,0.024727171286940575,-0.0043276127515858975,0.014807088549556134,0.06934038735926151,-2.556148991449201,1.4167625540387672,3.9729115454879684
sv_constrained,b_a_5,5,x,-0.04591868817806244,0.029791688546538353,-0.009022813940228407,0.014505811540335834,0.07571037672460079,-2.630947033380245,1.7069380182848815,4.337885051665126
sv_constrained,b_a_5,5,y,0.02836490236222744,0.06669922173023224,0.04171514749540222,0.006804242980836802,0.0383343193680048,1.6251891916562913,3.8215839019495754,2.1963947102932844
sv_constrained,b_a_5,5,z,-0.05625664070248604,-0.019608931615948677,-0.030801190594853194,0.006805914496858331,0.03664770908653736,-3.223268081836333,-1.1235090223545046,2.099759059481828
sv_constrained,l_1_co_r,6,x,-0.018779482692480087,0.4139541983604431,0.2221119839135725,0.09377217490267638,0.4327336810529232,-1.0759850997180846,23.71782847777469,24.793813577492777
sv_constrained,l_1_co_r,6,y,-0.3983975052833557,0.5111113786697388,0.11454384958638984,0.16750821819774045,0.9095088839530945,-22.8264956212772,29.28452485888888,52.111020480166076
sv_constrained,l_1_co_r,6,z,-0.33433791995048523,0.8577487468719482,0.18790448900635803,0.2024310625472907,1.1920866668224335,-19.156151744345568,49.145383078397806,68.30153482274338
sv_constrained,l_1_tr_r,7,x,-0.5500547289848328,0.06333032250404358,-0.18186929971884572,0.12535238107793634,0.6133850514888763,-31.515814472043232,3.6285601946840766,35.14437466672731
sv_constrained,l_1_tr_r,7,y,-0.11866642534732819,0.26853707432746887,0.11679653771589774,0.07425803721017643,0.38720349967479706,-6.799085342306159,15.386041001754856,22.185126344061015
sv_constrained,l_1_tr_r,7,z,-0.15935179591178894,0.15379440784454346,0.026068053609306967,0.06158251279163012,0.3131462037563324,-9.130185363575553,8.81177048220602,17.94195584578157
sv_constrained,l_1_fe_r,8,x,-0.15838761627674103,0.14551980793476105,-0.025480580454140714,0.04390873079274722,0.3039074242115021,-9.074941939794844,8.337670830216156,17.412612770011
sv_constrained,l_1_fe_r,8,y,-0.12665915489196777,0.16260960698127747,-0.011892464735664446,0.036540388731910685,0.28926876187324524,-7.257035012003528,9.316844188308245,16.573879200311772
sv_constrained,l_1_fe_r,8,z,-0.1572456806898117,0.10050001740455627,-0.027932455322640295,0.04437666192114745,0.257745698094368,-9.009513850187998,5.7582268382723925,14.76774068846039
sv_constrained,l_1_ti_r,9,x,-0.621017336845398,-0.14337949454784393,-0.37845255788426707,0.09019793032996379,0.477637842297554,-35.58167240569549,-8.215039906310455,27.36663249938504
sv_constrained,l_1_ti_r,9,y,-0.28998592495918274,0.10907844454050064,-0.09952721984284107,0.07095048830331295,0.3990643694996834,-16.614969618358572,6.249734508022503,22.864704126381074
sv_constrained,l_1_ti_r,9,z,-0.12072741985321045,0.11913645267486572,-0.0102423248507674,0.04262108600404167,0.23986387252807617,-6.917171629092864,6.826015924429873,13.743187553522736
sv_constrained,l_1_ta_r,10,x,-0.3028334379196167,0.19839325547218323,-0.0807407107432506,0.09112578961616401,0.5012266933917999,-17.35107788823106,11.367096222416823,28.718174110647887
sv_constrained,l_1_ta_r,10,y,-0.24075040221214294,0.2286364883184433,0.0009084934294414932,0.07891819197362723,0.46938689053058624,-13.793981962832829,13.099905823338949,26.893887786171778
sv_constrained,l_1_ta_r,10,z,-0.1304578334093094,0.09856487810611725,-0.012886297910902766,0.03547472052515656,0.22902271151542664,-7.474683258774215,5.647351523701929,13.122034782476144
