label,mode,checkpoint,checkpoint_epoch,n_axes,violating_axes,mean_viol_rate,mean_overshoot_deg,max_overshoot_deg,mpjpe_mm,median_mpjpe_mm,pck_5px_native,pck_5px_input,smal_file,benchmark_report
sv_reference,singleview,singleview_SMILySTICKS_3D_ViT_checkpoints/best_model.pth,386,162,96,14.760535767843677,2.531032425265661,77.69861153568446,1.092,0.9227,,,3D_model_prep/SMILy_STICK_limits_authored.pkl,/rwthfs/rz/cluster/home/mkd34160/test/SMILify/prior_study_results/sv_reference/benchmark_singleview_best_model_on_SMILySTICKS_centred_reprojected_FIXED/benchmark_report.txt
mv_reference,multiview,SMILySTICKS_ViT_model.pth,345,162,76,13.959541871188462,2.6468550795493555,56.57237881016064,0.9639,0.8382,,,3D_model_prep/SMILy_STICK_limits_authored.pkl,/rwthfs/rz/cluster/home/mkd34160/test/SMILify/prior_study_results/mv_reference/benchmark_multiview_SMILySTICKS_ViT_model_on_SMILySTICKS_centred_reprojected_FIXED/benchmark_report.txt
