label,joint,joint_idx,axis,min_rad,max_rad,mean_rad,std_rad,rom_rad,min_deg,max_deg,rom_deg
sv_constrained,b_a_1,1,x,-0.13922198116779327,0.2575930058956146,-0.018529993941820696,0.055374568010490295,0.3968149870634079,-7.976831936364383,14.75899206990725,22.735824006271635
sv_constrained,b_a_1,1,y,-0.4684423506259918,0.2125757485628128,-0.05764859915311234,0.13746261957326344,0.6810180991888046,-26.83976963605683,12.17969321948335,39.019462855540176
sv_constrained,b_a_1,1,z,-0.6126482486724854,0.5098795294761658,-0.003277102681364145,0.1219094390235625,1.1225277781486511,-35.10215897501475,29.213945099100552,64.3161040741153
sv_constrained,b_a_2,2,x,-0.2996732294559479,0.17713971436023712,-0.02354890215900924,0.05361068956274927,0.476812943816185,-17.170011280881315,10.149358016994528,27.319369297875845
sv_constrained,b_a_2,2,y,-0.29125097393989563,1.3971186876296997,0.05952607818338537,0.30074692677901727,1.6883696615695953,-16.687451585830747,80.0490042800382,96.73645586586896
sv_constrained,b_a_2,2,z,-0.23253954946994781,0.16014310717582703,0.021703410248721963,0.050960408659851554,0.39268265664577484,-13.32353475450163,9.175524159286097,22.499058913787728
sv_constrained,b_a_3,3,x,-0.17416734993457794,0.12499336898326874,-0.003204486457737034,0.04167848058433234,0.2991607189178467,-9.97905408022943,7.161592509862708,17.14064659009214
sv_constrained,b_a_3,3,y,-0.244916170835495,0.7591783404350281,0.019122724871917744,0.27292972255888714,1.004094511270523,-14.032662923378924,43.497714804673116,57.530377728052045
sv_constrained,b_a_3,3,z,-0.07896799594163895,0.08365745097398758,0.005747554569914805,0.017641766585167664,0.16262544691562653,-4.524532884062125,4.793218865632086,9.317751749694212
sv_constrained,b_a_4,4,x,-0.08471031486988068,0.08253854513168335,-0.005410058592584272,0.022452595359098434,0.16724886000156403,-4.8535435232684625,4.729110283195523,9.582653806463986
sv_constrained,b_a_4,4,y,-0.22175100445747375,0.22665895521640778,-0.028642126129671912,0.10244134520014113,0.44840995967388153,-12.705396658199952,12.9866015227449,25.691998180944854
sv_constrained,b_a_4,4,z,-0.06272155791521072,0.02044466882944107,-0.012462733017536715,0.0156294294271201,0.0831662267446518,-3.593680553026937,1.1713932374696425,4.765073790496579
sv_constrained,b_a_5,5,x,-0.015156428329646587,0.009778348729014397,-0.0016460560744753644,0.0027273088277932817,0.024934777058660984,-0.8683993757812655,0.5602581127796377,1.4286574885609031
sv_constrained,b_a_5,5,y,0.0008030655444599688,0.022686854004859924,0.010980040155076943,0.0035000986647448014,0.021883788460399956,0.04601226636993178,1.299860984907943,1.2538487185380112
sv_constrained,b_a_5,5,z,-0.023785701021552086,0.009257466532289982,-0.004575431993519977,0.004798969083693626,0.03304316755384207,-1.3628202812949453,0.5304137612838256,1.8932340425787708
sv_constrained,l_1_co_r,6,x,-0.2949621081352234,0.4866107404232025,0.13064579567953608,0.13171202011229655,0.7815728485584259,-16.900083912429704,27.88074169198555,44.78082560441525
sv_constrained,l_1_co_r,6,y,-0.38832104206085205,0.7244047522544861,0.15798063528024175,0.18826490361175663,1.1127257943153381,-22.249156806208944,41.505334963402056,63.75449176961101
sv_constrained,l_1_co_r,6,z,-0.36987221240997314,1.0615108013153076,0.23803514196243966,0.25305636097228423,1.4313830137252808,-21.192116730257773,60.8200888229172,82.01220555317498
sv_constrained,l_1_tr_r,7,x,-0.6317641139030457,0.6573432683944702,-0.06314411152829731,0.20588551302949687,1.2891073822975159,-36.19741737446673,37.66299497033846,73.8604123448052
sv_constrained,l_1_tr_r,7,y,-0.2800906300544739,0.30078181624412537,0.06278073196970663,0.096969595340507,0.5808724462985992,-16.048010983281443,17.23352862506785,33.28153960834929
sv_constrained,l_1_tr_r,7,z,-0.1784142106771469,0.16799236834049225,0.004558019444059975,0.0663545456706473,0.34640657901763916,-10.222381276958428,9.625253696317355,19.84763497327578
sv_constrained,l_1_fe_r,8,x,-0.17998096346855164,0.18851681053638458,-0.04629461103719595,0.06591439265128306,0.3684977740049362,-10.31214959944626,10.801217611002205,21.113367210448466
sv_constrained,l_1_fe_r,8,y,-0.1700664609670639,0.15823249518871307,-0.04122125530291872,0.05152746085026572,0.328298956155777,-9.744090450139115,9.066054156137364,18.810144606276477
sv_constrained,l_1_fe_r,8,z,-0.171611025929451,0.14028921723365784,-0.06803113911347562,0.053114456111287706,0.3119002431631088,-9.832587503667677,8.037980058682567,17.870567562350246
