label,joint,joint_idx,mean_mag_deg,max_mag_deg,std_mag_deg
sv_reference,b_a_1,1,10.059039684604356,35.75662433279393,5.662625140649701
sv_reference,b_a_2,2,12.63094031724363,77.35004784166412,13.3033468506797
sv_reference,b_a_3,3,11.927163811743391,41.32665279232214,9.982194883033783
sv_reference,b_a_4,4,6.13953373783637,16.433827183789127,3.435182397894054
sv_reference,b_a_5,5,0.22239352841254834,1.2735239272533119,0.11079076484072294
sv_reference,l_1_co_r,6,29.09544251326387,68.51347618443816,10.465657406498858
sv_reference,l_1_tr_r,7,19.31763993783705,52.94971284468576,7.324786780971478
sv_reference,l_1_fe_r,8,26.60388935202506,94.30800222813514,12.45845012381285
sv_reference,l_1_ti_r,9,36.260812745093524,85.56450189144967,12.42696290930906
sv_reference,l_1_ta_r,10,28.540524475916943,90.47193740028902,14.02684001348275
sv_reference,l_1_pt_r,11,1.0239858372318522,5.225112925835366,0.6073106201041494
sv_reference,l_2_co_r,12,35.92411309219061,69.05606592969475,10.567986378740951
sv_reference,l_2_tr_r,13,20.122766410500823,55.76486588351129,8.78349292777021
sv_reference,l_2_fe_r,14,28.127164084376655,78.10615315151914,14.318916035464667
sv_reference,l_2_ti_r,15,32.046839287024284,75.79532839900254,13.555674759906887
sv_reference,l_2_ta_r,16,27.610659083805555,75.72882099388585,12.866402340600896
sv_reference,l_2_pt_r,17,2.083240504631868,7.818749562732184,1.146522031483939
sv_reference,l_3_co_r,18,36.666264613307725,81.0885960541322,10.833827939086525
sv_reference,l_3_tr_r,19,33.52552049717062,90.35569099459401,15.814100190392754
sv_reference,l_3_fe_r,20,24.192119381997568,68.51781607885351,13.18375619525985
sv_reference,l_3_ti_r,21,31.357848867760215,98.33575174295294,12.00323425158009
sv_reference,l_3_ta_r,22,23.836121686229163,95.65601665555613,13.315432894450302
sv_reference,l_3_pt_r,23,0.1684049433506743,1.9216863229133334,0.10334602801505065
sv_reference,w_1_r,24,0.18028879403488896,5.45222057910721,0.11050555101190214
sv_reference,w_2_r,25,0.19828089060316897,1.6548873368508212,0.12034601114862793
sv_reference,l_1_co_l,26,37.21585424449135,73.71631446725368,10.63998821496978
sv_reference,l_1_tr_l,27,18.267155532651508,58.33205968689725,10.170571628808737
sv_reference,l_1_fe_l,28,24.641173963583103,73.1545046012532,13.865623389901524
sv_reference,l_1_ti_l,29,27.460895867325014,57.16542451535577,9.826382285987645
sv_reference,l_1_ta_l,30,24.515201306445473,76.85538096866405,12.350636564869967
sv_reference,l_1_pt_l,31,2.1318195721464805,6.498115944852384,1.2198228781750962
sv_reference,l_2_co_l,32,27.613028928343237,56.73190728634193,8.22027952222988
sv_reference,l_2_tr_l,33,14.55813874638449,68.6321265449056,6.166625715096613
sv_reference,l_2_fe_l,34,24.184778205504777,63.33067930389137,13.217765794525418
sv_reference,l_2_ti_l,35,40.45729314310343,81.73686863043913,15.758765111246504
sv_reference,l_2_ta_l,36,40.04559698956859,91.56452385672608,21.03309617211934
sv_reference,l_2_pt_l,37,0.88887887593632,9.221249533607438,0.636637845828459
sv_reference,l_3_co_l,38,32.568430134343934,72.79056475227911,11.612762587292154
sv_reference,l_3_tr_l,39,34.975513457689935,77.57511629500533,13.876039097633576
sv_reference,l_3_fe_l,40,23.129970499162166,72.1128805130947,11.82116934974749
sv_reference,l_3_ti_l,41,26.361192269672983,59.45399706481956,9.937548672122459
sv_reference,l_3_ta_l,42,18.95183662843811,101.24613020424964,11.390784142172574
sv_reference,l_3_pt_l,43,0.641454767803343,5.29806844451346,0.3894332055133381
sv_reference,w_1_l,44,11.278036427710155,56.558520433895936,7.634706109889963
sv_reference,w_2_l,45,0.23205474242096572,2.908100752308534,0.14521673039522176
sv_reference,b_h,46,20.915428659082064,63.42515846740429,9.457935995363444
sv_reference,ma_r,47,0.1867291690654204,2.2475487106837444,0.11302281574402522
sv_reference,an_1_r,48,30.192350070105128,76.37223269210077,9.525330597425752
sv_reference,an_2_r,49,7.194938130070503,24.47218099949269,5.157763307026485
sv_reference,an_3_r,50,0.1660977592626021,2.2345086864948644,0.10353563358101261
sv_reference,ma_l,51,0.17892120343914933,1.712487669035299,0.11451802914490943
sv_reference,an_1_l,52,28.550705008577495,76.26607554285637,10.124846801470834
sv_reference,an_2_l,53,10.438526117282336,48.59218177229537,8.644118732554258
sv_reference,an_3_l,54,0.19029670704841045,1.5426949152359102,0.10676715388501351
